fid,hovedtyper_fkey,langkode,kode_id,navn
175,390,NiN-3.0-T-C-PE-NA-MB-MA06-M050-07,MA06-M050-07,MA06-M050-07 Finmaterialfattig til noe rik uorganisk sedimentbunn i dyphavsvann
176,390,NiN-3.0-T-C-PE-NA-MB-MA06-M050-06,MA06-M050-06,MA06-M050-06 Finmaterialrik til -dominert dy- og gytjebunn i intermediært vann
177,390,NiN-3.0-T-C-PE-NA-MB-MA06-M050-05,MA06-M050-05,MA06-M050-05 Finmaterialfattig til noe rik uorganisk sedimentbunn i intermediært vann
178,390,NiN-3.0-T-C-PE-NA-MB-MA06-M050-04,MA06-M050-04,MA06-M050-04 Afotisk finmaterialrik til -dominert dy- og gytjebunn i atlantisk vann
179,390,NiN-3.0-T-C-PE-NA-MB-MA06-M050-03,MA06-M050-03,MA06-M050-03 Afotisk finmaterialfattig til noe rik uorganisk sedimentbunn i atlantisk vann
180,390,NiN-3.0-T-C-PE-NA-MB-MA06-M050-02,MA06-M050-02,MA06-M050-02 Afotisk finmaterialrik til -dominert dy- og gytjebunn i kystvann
181,390,NiN-3.0-T-C-PE-NA-MB-MA06-M050-01,MA06-M050-01,MA06-M050-01 Afotisk finmaterialfattig til noe rik uorganisk sedimentbunn i kystvann
182,391,NiN-3.0-T-C-PE-NA-MB-MA05-M050-02,MA05-M050-02,"MA05-M050-02 Eufotisk saltvanns-sedimentbunn av leire, silt dy- og gytje eller myrtorv"
183,391,NiN-3.0-T-C-PE-NA-MB-MA05-M050-01,MA05-M050-01,"MA05-M050-01 Eufotisk saltvanns-sedimentbunn av sand- skjellsand, grus, stein eller rugl"
184,392,NiN-3.0-T-C-PE-NA-MB-MA04-M050-02,MA04-M050-02,MA04-M050-02 Finmaterialrik til -dominert uorganisk fin fjærebeltebunn
185,392,NiN-3.0-T-C-PE-NA-MB-MA04-M050-01,MA04-M050-01,MA04-M050-01 Finmaterialfattig til noe -rik uorganisk grov fjærebelte-sedimentbunn
186,393,NiN-3.0-T-C-PE-NA-MB-MA03-M050-05,MA03-M050-05,MA03-M050-05 Afotisk fastbunn i arktisk vann
187,393,NiN-3.0-T-C-PE-NA-MB-MA03-M050-04,MA03-M050-04,MA03-M050-04 Afotisk fastbunn i dyphavsvann
188,393,NiN-3.0-T-C-PE-NA-MB-MA03-M050-03,MA03-M050-03,MA03-M050-03 Afotisk saltvanns-fastbunn i intermediært vann
189,393,NiN-3.0-T-C-PE-NA-MB-MA03-M050-02,MA03-M050-02,MA03-M050-02 Afotisk fastbunn i atlantisk vann
190,393,NiN-3.0-T-C-PE-NA-MB-MA03-M050-01,MA03-M050-01,MA03-M050-01 Afotisk fastbunn i kystvann
191,394,NiN-3.0-T-C-PE-NA-MB-MA02-M050-02,MA02-M050-02,MA02-M050-02 Svært til ekstremt eksponert eufotisk fast saltvannsbunn
192,394,NiN-3.0-T-C-PE-NA-MB-MA02-M050-01,MA02-M050-01,MA02-M050-01 Beskyttet til ganske eksponert eufotisk fast saltvannsbunn
193,395,NiN-3.0-T-C-PE-NA-MB-MA01-M050-01,MA01-M050-01,MA01-M050-01 Fast saltvanns-fjærebeltebunn
194,396,NiN-3.0-T-C-PE-NA-MB-LM05-M050-04,LM05-M050-04,LM05-M050-04 Kronisk forsuret fast innsjøbunn
195,396,NiN-3.0-T-C-PE-NA-MB-LM05-M050-03,LM05-M050-03,LM05-M050-03 Kronisk forsuret eller eutrofiert innsjøbunn
196,396,NiN-3.0-T-C-PE-NA-MB-LM05-M050-02,LM05-M050-02,LM05-M050-02 Kronisk saltpåvirket innsjøbunn
197,396,NiN-3.0-T-C-PE-NA-MB-LM05-M050-01,LM05-M050-01,LM05-M050-01 Kronisk kjemisk påvirket innsjøbunn
198,397,NiN-3.0-T-C-PE-NA-MB-LM04-M050-02,LM04-M050-02,LM04-M050-02 Kalkrik kronisk fysisk forstyrret innsjøbunn
199,397,NiN-3.0-T-C-PE-NA-MB-LM04-M050-01,LM04-M050-01,LM04-M050-01 Kalkfattig kronisk fysisk forstyrret innsjøbunn
200,398,NiN-3.0-T-C-PE-NA-MB-LM03-M050-01,LM03-M050-01,LM03-M050-01 Kalkfattig ny innsjøbunn fra våtmarkssystemer
201,399,NiN-3.0-T-C-PE-NA-MB-LM02-M050-02,LM02-M050-02,LM02-M050-02 Kalkrik ny innsjøbunn fra elvebunn
202,399,NiN-3.0-T-C-PE-NA-MB-LM02-M050-01,LM02-M050-01,LM02-M050-01 Kalkfattig ny innsjøbunn fra elvebunn
203,400,NiN-3.0-T-C-PE-NA-MB-LM01-M050-01,LM01-M050-01,LM01-M050-01 Ny sterkt endret innsjøbunn
204,401,NiN-3.0-T-C-PE-NA-MB-LJ01-M050-01,LJ01-M050-01,LJ01-M050-01 Klart endret innsjøbunn preget av næringsstoff-overbelastning
205,402,NiN-3.0-T-C-PE-NA-MB-LG01-M050-01,LG01-M050-01,LG01-M050-01 Ny innsjøbunn
206,403,NiN-3.0-T-C-PE-NA-MB-LC06-M050-01,LC06-M050-01,LC06-M050-01 Innsjø-sedimentbunn betinget av naturlig gjødsling
207,404,NiN-3.0-T-C-PE-NA-MB-LC05-M050-02,LC05-M050-02,LC05-M050-02 Havis-overflate-innsjøbunn
208,404,NiN-3.0-T-C-PE-NA-MB-LC05-M050-01,LC05-M050-01,LC05-M050-01 Breoverflate-innsjøbunn
209,405,NiN-3.0-T-C-PE-NA-MB-LC04-M050-02,LC04-M050-02,LC04-M050-02 Anoksisk innsjøbunn
