fid,hovedtyper_fkey,langkode,kode_id,navn,kartleggingsenhet_m005_fkey,kartleggingsenhet_m020_fkey,kartleggingsenhet_m050_fkey
848,343,NIN-3.0-T-C-PE-NA-MB-TG01-10,TG01-10,TG01-10 Rabbepreget kalkfattig til svakt kalkrik stedegen stein- og blokkmark,TG01-M005-10,TG01-M020-06,TG01-M050-01
849,343,NIN-3.0-T-C-PE-NA-MB-TG01-09,TG01-09,TG01-09 Udifferensiert stedegen stein- og blokkmark,TG01-M005-09,TG01-M020-05,
850,343,NIN-3.0-T-C-PE-NA-MB-TG01-08,TG01-08,TG01-08 Snøleiepregede sterkt kalkrike stedegne grus-løsmasser,TG01-M005-08,TG01-M020-04,TG01-M050-02
851,343,NIN-3.0-T-C-PE-NA-MB-TG01-07,TG01-07,TG01-07 Snøleiepregede kalkfattige til svakt kalkrike stedegne grus-løsmasser,TG01-M005-07,,TG01-M050-01
852,343,NIN-3.0-T-C-PE-NA-MB-TG01-06,TG01-06,"TG01-06 Fjellhei-, leside- eller grasmarkspregede sterkt kalkrike stedegne grus-løsmasser",TG01-M005-06,TG01-M020-04,TG01-M050-02
853,343,NIN-3.0-T-C-PE-NA-MB-TG01-05,TG01-05,"TG01-05 Fjellhei-, leside- eller grasmarkspregede intermediære til svakt kalkrike stedegne grus-løsmasser",TG01-M005-05,TG01-M020-03,TG01-M050-01
854,343,NIN-3.0-T-C-PE-NA-MB-TG01-04,TG01-04,"TG01-04 Fjellhei-, leside- eller grasmarkspregede kalkfattige stedegne grus-løsmasser",TG01-M005-04,TG01-M020-02,TG01-M050-01
855,343,NIN-3.0-T-C-PE-NA-MB-TG01-03,TG01-03,TG01-03 Rabbepregede sterkt kalkrike stedegne grus-løsmasser,TG01-M005-03,TG01-M020-04,TG01-M050-02
856,343,NIN-3.0-T-C-PE-NA-MB-TG01-02,TG01-02,TG01-02 Rabbepregede kalkfattige til svakt kalkrike stedegne grus-løsmasser,TG01-M005-02,,TG01-M050-01
857,343,NIN-3.0-T-C-PE-NA-MB-TG01-01,TG01-01,TG01-01 Udifferensierte stedegne grus-løsmasser,TG01-M005-01,TG01-M020-01,
858,344,NIN-3.0-T-C-PE-NA-MB-TF02-06,TF02-06,TF02-06 Brakkvanns-flomskogsmark,TF02-M005-06,TF02-M020-02,TF02-M050-02
859,344,NIN-3.0-T-C-PE-NA-MB-TF02-05,TF02-05,TF02-05 Noe eksponert flomskogsmark på grus og stein,TF02-M005-05,TF02-M020-01,TF02-M050-01
860,344,NIN-3.0-T-C-PE-NA-MB-TF02-04,TF02-04,TF02-04 Beskyttet flomskogsmark på grus og stein,TF02-M005-04,TF02-M020-01,TF02-M050-01
